merchant_name,card_tpbuz_nm_2,classification_reason
국군복지단,음/식료품소매,"국군복지단은 군마트/복지매장 성격이 강해 생필품/식료품 구매가 중심인 소매 거래로 분류합니다."
글로우업헤어(GLOW UP),건강/뷰티/마사지,"헤어샵/미용실 상호로 판단되어 건강/뷰티/마사지 카테고리로 분류합니다."
글로우업헤어,건강/뷰티/마사지,"헤어샵/미용실 상호로 판단되어 건강/뷰티/마사지 카테고리로 분류합니다."
GLOW UP,건강/뷰티/마사지,"헤어/뷰티 업종 상호로 판단되어 건강/뷰티/마사지 카테고리로 분류합니다."
네이버파이낸셜(주),인터넷쇼핑,"네이버페이/스마트스토어 결제 대행 성격이 강해 인터넷쇼핑 카테고리로 분류합니다."
네이버파이낸셜,인터넷쇼핑,"네이버페이/스마트스토어 결제 대행 성격이 강해 인터넷쇼핑 카테고리로 분류합니다."
이자카야잔잔 수원역점,육류/회식,"이자카야/주점형 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
이자카야 잔잔 수원역점,육류/회식,"이자카야/주점형 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
주식회사 내안,외식,"기존 수동 분류 결과를 반영해 외식 카테고리로 분류합니다."
01월경기버스1건,교통서비스,"월별 경기버스 합산 결제 내역으로 보고 교통서비스 카테고리로 분류합니다."
01월경북버스(마이비)3건,교통서비스,"월별 시내버스 결제 합산 내역으로 보고 교통서비스 카테고리로 분류합니다."
01월지하철2건,교통서비스,"월별 지하철 결제 합산 내역으로 보고 교통서비스 카테고리로 분류합니다."
01월카드사용알림서비스이용료,시스템/통신,"카드 알림 서비스 이용료로 보고 시스템/통신 카테고리로 분류합니다."
12월경기버스4건,교통서비스,"월별 경기버스 합산 결제 내역으로 보고 교통서비스 카테고리로 분류합니다."
12월경북버스(마이비)1건,교통서비스,"월별 시내버스 결제 합산 내역으로 보고 교통서비스 카테고리로 분류합니다."
12월지하철5건,교통서비스,"월별 지하철 결제 합산 내역으로 보고 교통서비스 카테고리로 분류합니다."
12월카드사용알림서비스이용료,시스템/통신,"카드 알림 서비스 이용료로 보고 시스템/통신 카테고리로 분류합니다."
(주)파리크라상파리바게뜨 제주공항점,제과/제빵/떡/케익,"파리바게뜨 제과점 결제로 판단되어 제과/제빵/떡/케익 카테고리로 분류합니다."
007마트 인동점,음/식료품소매,"마트/편의형 소매점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
GS25 인의센타점,음/식료품소매,"GS25 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
GS25구미중앙로점,음/식료품소매,"GS25 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
그린약국,의약/의료품,"약국 결제로 판단되어 의약/의료품 카테고리로 분류합니다."
고신통상  가남주유소,자동차/유지비,"주유소 결제로 판단되어 자동차/유지비 카테고리로 분류합니다."
금별맥주구미인동점,육류/회식,"맥주/주점형 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
꾸에,외식,"일반 외식성 가맹점으로 보고 외식 카테고리로 분류합니다."
다이소 구미인동점,인테리어/가정용품,"다이소 생활용품 구매로 판단되어 인테리어/가정용품 카테고리로 분류합니다."
대박집(영통점),외식,"일반 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
대보유통(주)추풍령(서울)주유소,자동차/유지비,"주유소 결제로 판단되어 자동차/유지비 카테고리로 분류합니다."
더벤티 구미삼성점,커피/음료,"커피 전문점 결제로 판단되어 커피/음료 카테고리로 분류합니다."
두성유통(주)문의휴게소(청주방향),음/식료품소매,"휴게소 소매 결제로 보고 음/식료품소매 카테고리로 분류합니다."
롯데쇼핑(주)타임빌라스수원점,인터넷쇼핑,"쇼핑성 소비로 보고 인터넷쇼핑 카테고리로 분류합니다."
매일25시약국,의약/의료품,"약국 결제로 판단되어 의약/의료품 카테고리로 분류합니다."
메가엠지씨커피구미인동점,커피/음료,"커피 전문점 결제로 판단되어 커피/음료 카테고리로 분류합니다."
모노맨션구미점,공연관람,"포토부스/체험형 여가 결제로 보고 공연관람 카테고리로 분류합니다."
무이,외식,"일반 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
번네식당,외식,"식당 결제로 판단되어 외식 카테고리로 분류합니다."
베니스PC,공연관람,"PC방/여가 결제로 보고 공연관람 카테고리로 분류합니다."
봉봉스테이션 구미역점,커피/음료,"음료/디저트 매장 결제로 판단되어 커피/음료 카테고리로 분류합니다."
샛별365약국,의약/의료품,"약국 결제로 판단되어 의약/의료품 카테고리로 분류합니다."
세븐일레븐  구미진평삼성점,음/식료품소매,"편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
섹시한떡볶이,분식,"떡볶이 분식 업종으로 판단되어 분식 카테고리로 분류합니다."
숙성도 함덕점,육류/회식,"육류 중심 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
스타벅스코리아,커피/음료,"스타벅스 커피 전문점 결제로 판단되어 커피/음료 카테고리로 분류합니다."
씨유(CU)삼성전자구미기숙사점,음/식료품소매,"CU 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
씨유(CU)영통대우동신점,음/식료품소매,"CU 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
에스케이플래닛,시스템/통신,"디지털/플랫폼 서비스 결제로 보고 시스템/통신 카테고리로 분류합니다."
에이바우트인동점,커피/음료,"커피 전문점 결제로 판단되어 커피/음료 카테고리로 분류합니다."
역전할머니맥주구미인동점,육류/회식,"주점형 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
영우동,외식,"면류 중심 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
용용선생 구미인동점,육류/회식,"주점형 외식 업장으로 판단되어 육류/회식 카테고리로 분류합니다."
이마트24 구미원평희망점,음/식료품소매,"이마트24 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
이마트24 구미인동점,음/식료품소매,"이마트24 편의점 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
자매국수,외식,"국수 전문 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
장생온누리약국,의약/의료품,"약국 결제로 판단되어 의약/의료품 카테고리로 분류합니다."
주식회사 스타필드수원,인터넷쇼핑,"쇼핑성 소비로 보고 인터넷쇼핑 카테고리로 분류합니다."
주식회사 아성다이소,인테리어/가정용품,"다이소 생활용품 구매로 판단되어 인테리어/가정용품 카테고리로 분류합니다."
주식회사 하얀풍차제과 망포점,제과/제빵/떡/케익,"제과점 결제로 판단되어 제과/제빵/떡/케익 카테고리로 분류합니다."
주식회사조암월드마트,음/식료품소매,"마트 결제로 판단되어 음/식료품소매 카테고리로 분류합니다."
차이앤웍,외식,"중식 계열 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
카페로사인동점,커피/음료,"커피 전문점 결제로 판단되어 커피/음료 카테고리로 분류합니다."
카페인중독구미진평점,커피/음료,"커피/디저트 매장 결제로 판단되어 커피/음료 카테고리로 분류합니다."
캐칭돌,공연관람,"오락/체험형 결제로 보고 공연관람 카테고리로 분류합니다."
포토이즘박스/컬러드 구미인동점,공연관람,"포토부스/체험형 여가 결제로 보고 공연관람 카테고리로 분류합니다."
푸차이로오,외식,"일반 음식점 결제로 판단되어 외식 카테고리로 분류합니다."
프린트카페 경희대국제캠퍼스점,시스템/통신,"무인 프린트 서비스 이용으로 보고 시스템/통신 카테고리로 분류합니다."
홍익스포츠스파(주),건강/뷰티/마사지,"스포츠 스파/사우나 계열 결제로 판단되어 건강/뷰티/마사지 카테고리로 분류합니다."
㈜우아한형제들,외식,"배달앱 결제로 판단되어 외식 카테고리로 분류합니다."
